ATM	ATM	0.000000
ATM	p53	0.248482
ATM	Mdm2	0.325976
ATM	MdmX	0.016233
ATM	Wip1	0.014695
ATM	cyclinG	0.014695
ATM	PTEN	0.014695
ATM	p21	0.016971
ATM	AKT	0.004114
ATM	cyclinE	0.000830
ATM	Rb	0.251998
ATM	E2F1	0.109609
ATM	p14ARF	0.056043
ATM	Bcl2	0.300475
ATM	Bax	0.000274
ATM	caspase	0.028351
p53	ATM	0.046947
p53	p53	0.000000
p53	Mdm2	0.025281
p53	MdmX	0.170688
p53	Wip1	0.940635
p53	cyclinG	0.940635
p53	PTEN	0.940635
p53	p21	0.861460
p53	AKT	0.047920
p53	cyclinE	0.058735
p53	Rb	0.130771
p53	E2F1	0.009697
p53	p14ARF	0.486489
p53	Bcl2	0.099713
p53	Bax	0.221919
p53	caspase	0.000309
Mdm2	ATM	0.015797
Mdm2	p53	0.492769
Mdm2	Mdm2	0.000000
Mdm2	MdmX	0.313880
Mdm2	Wip1	0.221840
Mdm2	cyclinG	0.221840
Mdm2	PTEN	0.221840
Mdm2	p21	0.248418
Mdm2	AKT	0.013043
Mdm2	cyclinE	0.016020
Mdm2	Rb	0.402547
Mdm2	E2F1	0.150407
Mdm2	p14ARF	0.125107
Mdm2	Bcl2	0.001753
Mdm2	Bax	0.010004
Mdm2	caspase	0.005994
MdmX	ATM	0.104054
MdmX	p53	0.400616
MdmX	Mdm2	0.259735
MdmX	MdmX	0.000000
MdmX	Wip1	0.026983
MdmX	cyclinG	0.026983
MdmX	PTEN	0.026983
MdmX	p21	0.019289
MdmX	AKT	0.108264
MdmX	cyclinE	0.107963
MdmX	Rb	0.041505
MdmX	E2F1	0.037379
MdmX	p14ARF	0.075337
MdmX	Bcl2	0.181087
MdmX	Bax	0.007018
MdmX	caspase	0.012975
Wip1	ATM	0.784637
Wip1	p53	0.029211
Wip1	Mdm2	0.144607
Wip1	MdmX	0.209832
Wip1	Wip1	0.000000
Wip1	cyclinG	0.003209
Wip1	PTEN	0.003209
Wip1	p21	0.000428
Wip1	AKT	0.651753
Wip1	cyclinE	0.600808
Wip1	Rb	0.005889
Wip1	E2F1	0.217422
Wip1	p14ARF	0.308349
Wip1	Bcl2	0.042695
Wip1	Bax	0.000875
Wip1	caspase	0.063813
cyclinG	ATM	0.784637
cyclinG	p53	0.029211
cyclinG	Mdm2	0.144607
cyclinG	MdmX	0.204152
cyclinG	Wip1	0.003209
cyclinG	cyclinG	0.000000
cyclinG	PTEN	0.003209
cyclinG	p21	0.000428
cyclinG	AKT	0.651753
cyclinG	cyclinE	0.600808
cyclinG	Rb	0.005889
cyclinG	E2F1	0.217422
cyclinG	p14ARF	0.268934
cyclinG	Bcl2	0.042695
cyclinG	Bax	0.000875
