ATM	ATM	0.000000
ATM	p53	0.338919
ATM	Mdm2	0.182048
ATM	MdmX	0.038368
ATM	Wip1	0.009757
ATM	cyclinG	0.009757
ATM	PTEN	0.015399
ATM	p21	0.013421
ATM	AKT	0.008391
ATM	cyclinE	0.007702
ATM	Rb	0.430971
ATM	E2F1	0.142791
ATM	p14ARF	0.008034
ATM	Bcl2	0.402297
ATM	Bax	0.003975
ATM	caspase	0.083126
p53	ATM	0.119414
p53	p53	0.000000
p53	Mdm2	0.024806
p53	MdmX	0.163301
p53	Wip1	0.843931
p53	cyclinG	0.843931
p53	PTEN	0.843931
p53	p21	0.773888
p53	AKT	0.115007
p53	cyclinE	0.122683
p53	Rb	0.013211
p53	E2F1	0.014987
p53	p14ARF	0.405128
p53	Bcl2	0.084666
p53	Bax	0.189362
p53	caspase	0.008138
Mdm2	ATM	0.008364
Mdm2	p53	0.695545
Mdm2	Mdm2	0.000000
Mdm2	MdmX	0.174321
Mdm2	Wip1	0.132850
Mdm2	cyclinG	0.132850
Mdm2	PTEN	0.134005
Mdm2	p21	0.141308
Mdm2	AKT	0.009300
Mdm2	cyclinE	0.009621
Mdm2	Rb	0.556266
Mdm2	E2F1	0.363070
Mdm2	p14ARF	0.007469
Mdm2	Bcl2	0.170436
Mdm2	Bax	0.011864
Mdm2	caspase	0.031342
MdmX	ATM	0.052798
MdmX	p53	0.229400
MdmX	Mdm2	0.009804
MdmX	MdmX	0.000000
MdmX	Wip1	0.165083
MdmX	cyclinG	0.162298
MdmX	PTEN	0.162298
MdmX	p21	0.151089
MdmX	AKT	0.042572
MdmX	cyclinE	0.041365
MdmX	Rb	0.160085
MdmX	E2F1	0.003823
MdmX	p14ARF	0.095363
MdmX	Bcl2	0.228963
MdmX	Bax	0.020915
MdmX	caspase	0.025212
Wip1	ATM	0.893633
Wip1	p53	0.000000
Wip1	Mdm2	0.395429
Wip1	MdmX	0.295263
Wip1	Wip1	0.000000
Wip1	cyclinG	0.000000
Wip1	PTEN	0.000000
Wip1	p21	0.000890
Wip1	AKT	0.899078
Wip1	cyclinE	0.794393
Wip1	Rb	0.038046
Wip1	E2F1	0.225175
Wip1	p14ARF	0.318985
Wip1	Bcl2	0.111611
Wip1	Bax	0.001399
Wip1	caspase	0.135888
cyclinG	ATM	0.893633
cyclinG	p53	0.000000
cyclinG	Mdm2	0.395429
cyclinG	MdmX	0.295263
cyclinG	Wip1	0.000000
cyclinG	cyclinG	0.000000
cyclinG	PTEN	0.000000
cyclinG	p21	0.000890
cyclinG	AKT	0.899078
cyclinG	cyclinE	0.794393
cyclinG	Rb	0.038046
cyclinG	E2F1	0.225175
cyclinG	p14ARF	0.318985
cyclinG	Bcl2	0.111611
cyclinG	Bax	0.001399
cyclinG	caspase	0.135888
PTEN	ATM	0.893633
PTEN	p53	0.000000
PTEN	Mdm2	0.395429
PTEN	MdmX	0.295263
PTEN	Wip1	0.000000
PTEN	cyclinG	0.000000
PTEN	PTEN	0.000000
PTEN	p21	0.000890
PTEN	AKT	0.899078
PTEN	cyclinE	0.794393
PTEN	Rb	0.038046
PTEN	E2F1	0.225175
PTEN	p14ARF	0.318985
PTEN	Bcl2	0.111611
PTEN	Bax	0.001399
PTEN	caspase	0.135888
p21	ATM	0.790748
p21	p53	0.001086
p21	Mdm2	0.372290
p21	MdmX	0.292765
p21	Wip1	0.012895
p21	cyclinG	0.012895
p21	PTEN	0.012895
p21	p21	0.000000
p21	AKT	0.811358
p21	cyclinE	0.868067
p21	Rb	0.036137
p21	E2F1	0.200730
p21	p14ARF	0.293224
p21	Bcl2	0.117976
p21	Bax	0.002722
p21	caspase	0.108269
AKT	ATM	0.009471
AKT	p53	0.275573
AKT	Mdm2	0.165976
AKT	MdmX	0.065095
AKT	Wip1	0.011405
AKT	cyclinG	0.011405
AKT	PTEN	0.000000
AKT	p21	0.006536
AKT	AKT	0.000000
AKT	cyclinE	0.007348
AKT	Rb	0.340918
AKT	E2F1	0.141214
AKT	p14ARF	0.009723
AKT	Bcl2	0.538304
AKT	Bax	0.001582
AKT	caspase	0.098783
cyclinE	ATM	0.018636
cyclinE	p53	0.252278
cyclinE	Mdm2	0.225626
cyclinE	MdmX	0.041486
cyclinE	Wip1	0.010086
cyclinE	cyclinG	0.010086
cyclinE	PTEN	0.010086
cyclinE	p21	0.000000
cyclinE	AKT	0.017501
cyclinE	cyclinE	0.000000
cyclinE	Rb	0.281768
cyclinE	E2F1	0.131870
cyclinE	p14ARF	0.005036
cyclinE	Bcl2	0.386166
cyclinE	Bax	0.001765
cyclinE	caspase	0.087155
Rb	ATM	0.071782
Rb	p53	0.013266
Rb	Mdm2	0.003091
Rb	MdmX	0.138411
Rb	Wip1	0.409637
Rb	cyclinG	0.409637
Rb	PTEN	0.409637
Rb	p21	0.397521
Rb	AKT	0.084447
Rb	cyclinE	0.095972
Rb	Rb	0.000000
Rb	E2F1	0.023491
Rb	p14ARF	0.206068
Rb	Bcl2	0.028894
Rb	Bax	0.029845
Rb	caspase	0.001730
E2F1	ATM	0.043216
E2F1	p53	0.265713
E2F1	Mdm2	0.019716
E2F1	MdmX	0.190267
E2F1	Wip1	0.280480
E2F1	cyclinG	0.280480
E2F1	PTEN	0.280480
E2F1	p21	0.278450
E2F1	AKT	0.050806
E2F1	cyclinE	0.062467
E2F1	Rb	0.219501
E2F1	E2F1	0.000000
E2F1	p14ARF	0.171759
E2F1	Bcl2	0.107984
E2F1	Bax	0.007079
E2F1	caspase	0.016545
p14ARF	ATM	0.429369
p14ARF	p53	0.138221
p14ARF	Mdm2	0.589152
p14ARF	MdmX	0.177389
p14ARF	Wip1	0.002784
p14ARF	cyclinG	0.005755
p14ARF	PTEN	0.005755
p14ARF	p21	0.007470
p14ARF	AKT	0.426572
p14ARF	cyclinE	0.354063
p14ARF	Rb	0.153421
p14ARF	E2F1	0.354416
p14ARF	p14ARF	0.000000
p14ARF	Bcl2	0.288705
p14ARF	Bax	0.003606
p14ARF	caspase	0.159798
Bcl2	ATM	0.039065
Bcl2	p53	0.107761
Bcl2	Mdm2	0.038360
Bcl2	MdmX	0.029383
Bcl2	Wip1	0.166106
Bcl2	cyclinG	0.166106
Bcl2	PTEN	0.166106
Bcl2	p21	0.169640
Bcl2	AKT	0.082083
Bcl2	cyclinE	0.024554
Bcl2	Rb	0.171957
Bcl2	E2F1	0.204078
Bcl2	p14ARF	0.003181
Bcl2	Bcl2	0.000000
Bcl2	Bax	0.041419
Bcl2	caspase	0.114944
Bax	ATM	0.187883
Bax	p53	0.007749
Bax	Mdm2	0.089783
Bax	MdmX	0.003490
Bax	Wip1	0.012929
Bax	cyclinG	0.012929
Bax	PTEN	0.012929
Bax	p21	0.011499
Bax	AKT	0.186834
Bax	cyclinE	0.144330
Bax	Rb	0.044917
Bax	E2F1	0.075233
Bax	p14ARF	0.079908
Bax	Bcl2	0.032916
Bax	Bax	0.000000
Bax	caspase	0.274400
caspase	ATM	0.015943
caspase	p53	0.073613
caspase	Mdm2	0.006883
caspase	MdmX	0.031463
caspase	Wip1	0.044550
caspase	cyclinG	0.044550
caspase	PTEN	0.044550
caspase	p21	0.046692
caspase	AKT	0.014457
caspase	cyclinE	0.013345
caspase	Rb	0.171991
caspase	E2F1	0.072373
caspase	p14ARF	0.015858
caspase	Bcl2	0.063374
caspase	Bax	0.011626
caspase	caspase	0.000000
