ATM	ATM	0.000000
ATM	p53	0.033058
ATM	Mdm2	0.017019
ATM	MdmX	0.002991
ATM	Wip1	0.000000
ATM	cyclinG	0.012806
ATM	PTEN	0.011703
ATM	p21	0.012180
ATM	AKT	0.011121
ATM	cyclinE	0.011096
ATM	Rb	0.006328
ATM	E2F1	0.000407
ATM	p14ARF	0.025338
ATM	Bcl2	0.003120
ATM	Bax	0.009078
ATM	caspase	0.001575
p53	ATM	0.000554
p53	p53	0.000000
p53	Mdm2	0.135791
p53	MdmX	0.021626
p53	Wip1	0.000000
p53	cyclinG	0.395446
p53	PTEN	0.404784
p53	p21	0.388063
p53	AKT	0.183115
p53	cyclinE	0.174125
p53	Rb	0.010477
p53	E2F1	0.166659
p53	p14ARF	0.380300
p53	Bcl2	0.167401
p53	Bax	0.209357
p53	caspase	0.070133
Mdm2	ATM	0.000558
Mdm2	p53	0.168211
Mdm2	Mdm2	0.000000
Mdm2	MdmX	0.142171
Mdm2	Wip1	0.000000
Mdm2	cyclinG	0.067404
Mdm2	PTEN	0.083075
Mdm2	p21	0.081281
Mdm2	AKT	0.030235
Mdm2	cyclinE	0.021742
Mdm2	Rb	0.194604
Mdm2	E2F1	0.089024
Mdm2	p14ARF	0.045287
Mdm2	Bcl2	0.038163
Mdm2	Bax	0.196777
Mdm2	caspase	0.088796
MdmX	ATM	0.000778
MdmX	p53	0.050141
MdmX	Mdm2	0.220803
MdmX	MdmX	0.000000
MdmX	Wip1	0.000000
MdmX	cyclinG	0.055271
MdmX	PTEN	0.071688
MdmX	p21	0.053063
MdmX	AKT	0.043969
MdmX	cyclinE	0.028716
MdmX	Rb	0.026701
MdmX	E2F1	0.001807
MdmX	p14ARF	0.047440
MdmX	Bcl2	0.169825
MdmX	Bax	0.037389
MdmX	caspase	0.038946
Wip1	ATM	0.000000
Wip1	p53	0.000000
Wip1	Mdm2	0.000000
Wip1	MdmX	0.000000
Wip1	Wip1	0.000000
Wip1	cyclinG	0.000000
Wip1	PTEN	0.000000
Wip1	p21	0.000000
Wip1	AKT	0.000000
Wip1	cyclinE	0.000000
Wip1	Rb	0.000000
Wip1	E2F1	0.000000
Wip1	p14ARF	0.000000
Wip1	Bcl2	0.000000
Wip1	Bax	0.000000
Wip1	caspase	0.000000
cyclinG	ATM	0.000968
cyclinG	p53	0.000000
cyclinG	Mdm2	0.116576
cyclinG	MdmX	0.065859
cyclinG	Wip1	0.000000
cyclinG	cyclinG	0.000000
cyclinG	PTEN	0.000000
cyclinG	p21	0.004078
cyclinG	AKT	0.597871
cyclinG	cyclinE	0.554597
cyclinG	Rb	0.066723
cyclinG	E2F1	0.383778
cyclinG	p14ARF	0.029961
cyclinG	Bcl2	0.123491
cyclinG	Bax	0.039610
cyclinG	caspase	0.183972
PTEN	ATM	0.000968
PTEN	p53	0.000000
PTEN	Mdm2	0.116576
PTEN	MdmX	0.065859
PTEN	Wip1	0.000000
PTEN	cyclinG	0.000000
PTEN	PTEN	0.000000
PTEN	p21	0.004078
PTEN	AKT	0.597871
PTEN	cyclinE	0.554597
PTEN	Rb	0.066723
PTEN	E2F1	0.383778
PTEN	p14ARF	0.029961
PTEN	Bcl2	0.123491
PTEN	Bax	0.039610
PTEN	caspase	0.183972
p21	ATM	0.000982
p21	p53	0.000107
p21	Mdm2	0.125998
p21	MdmX	0.065412
p21	Wip1	0.000000
p21	cyclinG	0.015736
p21	PTEN	0.021195
p21	p21	0.000000
p21	AKT	0.569832
p21	cyclinE	0.580256
p21	Rb	0.066271
p21	E2F1	0.375670
p21	p14ARF	0.044048
p21	Bcl2	0.132569
p21	Bax	0.045548
p21	caspase	0.177359
AKT	ATM	0.000000
AKT	p53	0.000000
AKT	Mdm2	0.303503
AKT	MdmX	0.196254
AKT	Wip1	0.000000
AKT	cyclinG	0.000000
AKT	PTEN	0.000000
AKT	p21	0.006695
AKT	AKT	0.000000
AKT	cyclinE	0.005722
AKT	Rb	0.165171
AKT	E2F1	0.130596
AKT	p14ARF	0.032072
AKT	Bcl2	0.303474
AKT	Bax	0.064800
AKT	caspase	0.178670
cyclinE	ATM	0.000085
cyclinE	p53	0.004705
cyclinE	Mdm2	0.308310
cyclinE	MdmX	0.191607
cyclinE	Wip1	0.000000
cyclinE	cyclinG	0.000632
cyclinE	PTEN	0.000353
cyclinE	p21	0.000000
cyclinE	AKT	0.029774
cyclinE	cyclinE	0.000000
cyclinE	Rb	0.159024
cyclinE	E2F1	0.149565
cyclinE	p14ARF	0.033469
cyclinE	Bcl2	0.281194
cyclinE	Bax	0.067595
cyclinE	caspase	0.187565
Rb	ATM	0.001152
Rb	p53	0.006170
Rb	Mdm2	0.196660
Rb	MdmX	0.102268
Rb	Wip1	0.000000
Rb	cyclinG	0.040774
Rb	PTEN	0.051282
Rb	p21	0.056745
Rb	AKT	0.065736
Rb	cyclinE	0.063815
Rb	Rb	0.000000
Rb	E2F1	0.015331
Rb	p14ARF	0.046509
Rb	Bcl2	0.036492
Rb	Bax	0.032358
Rb	caspase	0.009944
E2F1	ATM	0.004367
E2F1	p53	0.030277
E2F1	Mdm2	0.213797
E2F1	MdmX	0.190107
E2F1	Wip1	0.000000
E2F1	cyclinG	0.094672
E2F1	PTEN	0.098326
E2F1	p21	0.103049
E2F1	AKT	0.010310
E2F1	cyclinE	0.016896
